Tissue_Slice_ID,x,y,row_idx,col_idx,is_cancer,is_effector,gene_1,gene_2,gene_3,gene_4,gene_5,gene_6,pathology_counter
slice_1,0.0,0.0,0,0,False,True,0,1,0,1,0,1,5.558256115000002
slice_1,1.5,0.87,0,1,False,True,0,0,1,0,0,1,5.590387960000001
slice_1,3.0,0.0,0,2,False,False,0,0,0,1,1,1,4.891589465000001
slice_1,4.5,0.87,0,3,False,False,0,0,0,0,1,1,5.158256125000001
slice_1,6.0,0.0,0,4,False,False,0,0,0,1,1,0,2.7951939800000005
slice_1,7.5,0.87,0,5,False,False,0,0,0,1,1,0,4.027325795000001
slice_1,9.0,0.0,0,6,False,False,0,1,1,0,1,1,8.684380444999997
slice_1,10.5,0.87,0,7,False,False,0,0,0,1,0,1,5.158256125000001
slice_1,12.0,0.0,0,8,False,False,1,1,0,0,1,1,1.7654651349999997
slice_1,13.5,0.87,0,9,False,False,0,0,0,1,1,1,5.857054620000001
slice_1,15.0,0.0,0,10,False,False,1,1,0,0,1,1,4.8594576200000015
slice_1,16.5,0.87,0,11,False,False,0,1,1,0,1,0,4.726124290000001
slice_1,18.0,0.0,0,12,False,False,0,1,0,0,0,0,7.420116785000001
slice_1,19.5,0.87,0,13,False,False,0,0,1,1,1,0,4.92372131
slice_1,21.0,0.0,0,14,False,False,0,0,0,1,0,1,4.459457630000001
slice_1,22.5,0.87,0,15,False,False,1,1,0,0,0,1,5.4249227850000015
slice_1,0.0,1.73,1,0,False,True,1,1,0,1,0,1,6.689186445000002
slice_1,1.5,2.6,1,1,False,False,0,1,1,1,1,1,5.158256125000001
slice_1,3.0,1.73,1,2,False,False,0,1,0,1,1,0,5.723721290000001
slice_1,4.5,2.6,1,3,False,False,0,0,1,1,1,1,4.427325785000002
slice_1,6.0,1.73,1,4,False,False,1,1,1,1,0,1,4.261860610000002
slice_1,7.5,2.6,1,5,False,False,1,0,1,1,1,0,4.592790960000001
slice_1,9.0,1.73,1,6,False,False,1,1,1,1,1,1,4.92372131
slice_1,10.5,2.6,1,7,False,False,0,0,0,1,0,1,5.691589445000002
slice_1,12.0,1.73,1,8,False,False,1,1,0,1,1,0,2.8642636200000005
slice_1,13.5,2.6,1,9,False,False,1,1,0,1,0,0,3.195193970000001
slice_1,15.0,1.73,1,10,False,False,0,1,0,1,1,0,5.158256125000001
slice_1,16.5,2.6,1,11,False,False,0,1,0,0,1,1,6.987984950000001
slice_1,18.0,1.73,1,12,False,False,1,1,0,1,1,1,5.489186475
slice_1,19.5,2.6,1,13,False,False,0,0,1,1,0,0,4.624922805000001
slice_1,21.0,1.73,1,14,False,False,1,0,0,0,1,1,5.590387960000001
slice_1,22.5,2.6,1,15,False,False,0,1,1,0,1,1,5.024922795000001
slice_1,0.0,3.46,2,0,False,False,0,1,0,0,0,0,4.459457630000001
slice_1,1.5,4.33,2,1,False,False,0,1,0,0,1,0,4.592790960000001
slice_1,3.0,3.46,2,2,False,False,1,1,1,0,0,0,7.553450115000001
slice_1,4.5,4.33,2,3,False,False,0,0,0,1,0,1,4.326124300000001
slice_1,6.0,3.46,2,4,False,False,1,0,0,1,0,1,5.158256125000001
slice_1,7.5,4.33,2,5,False,False,0,0,0,1,0,0,3.461860630000001
slice_1,9.0,3.46,2,6,False,False,1,1,1,1,1,1,5.723721290000001
slice_1,10.5,4.33,2,7,False,False,1,1,0,1,1,0,4.326124300000001
slice_1,12.0,3.46,2,8,False,False,0,0,0,0,1,0,2.896395465000001
slice_1,13.5,4.33,2,9,False,False,1,1,0,0,0,1,4.726124290000001
slice_1,15.0,3.46,2,10,False,False,1,1,0,0,0,1,4.027325795000001
slice_1,16.5,4.33,2,11,False,False,1,1,0,1,1,0,4.8594576200000015
